7,oefening,standaard Frequentie (p/d),materiaal,status,categorie_nl,tags_nl,naam_nl,doel_nl,content_nl,thumbnail_nl,categorie_vls,tags_vls,naam_vls,doel_vls,content_vls,thumbnail_vls,categorie_en,tags_en,naam_en,doel_en,content_en,thumbnail_en,categorie_fr,tags_fr,naam_fr,doel_fr,content_fr,thumbnail_fr,skip_intro
11,"Roepoefening met beweging toepassen
Doel:
- Door gebruik te maken van beweging vermijd je teveel spanning in het keelgebied. En verbeter je stembelastbaarheid
-versterken orale resonans
-Gebruik maken voorwaartse projectie",2,video,1,stem-productie,"adem, volume",Roepoefening met beweging toepassen,Door de ontspanning vanuit de roepoefening met beweging mee te nemen naar het normale spreken voorkom je teveel spanning in het keelgebied en kun je op een gezonden manier het volume van je stem vergroten.,https://streamable.com/l/sfvd97/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+11+roepen+toepassen+beweging.png,stem-productie,"adem, volume",Roepoefening met beweging toepassen,Door de ontspanning vanuit de roepoefening met beweging mee te nemen naar het normale spreken voorkom je teveel spanning in het keelgebied en kun je op een gezonden manier het volume van je stem vergroten.,https://streamable.com/l/sfvd97/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+11+roepen+toepassen+beweging.png,voice production,"breath, volume",Apply call exercise with movement,"By taking the relaxation from the calling exercise with movement to normal speaking, you prevent too much tension in the throat area and you can increase the volume of your voice in a sent way.",https://streaamable.com/l/sfvd97/mp4.mp4,https://voiceBuddy.s3.eu-central-1.amazonaws.com/oef+11+-Groups+toPassen+ movement.png,Production vocale,"Respiration, volume",Appliquer de l'exercice d'appel avec mouvement,"En prenant la relaxation de l'exercice d'appel avec un mouvement à une parole normale, vous empêchez trop de tension dans la gorge et vous pouvez augmenter le volume de votre voix de manière envoyée.",https://streamable.com/l/sfvd97/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazons.com/oef+11+-groups+topassen+ mouvement.png,
12,"Accent oefening Largo
Doel:
trainen van het ademritme, de stemgeving en de spraak om adem-stemkoppeling te verbeteren.",2,video,1,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Largo,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/1drabr/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+12+accent+largo.png,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Largo,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/1drabr/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+12+accent+largo.png,voice production,"Breathing control, closure, vibration",Accent exercise largo,"By using the rhythm of your breathing, voice and breath are well coordinated so that you can use your voice relaxed.",https://streaamable.com/l/drabr/mp4.mp4,https://voiceBuddy.s3.eu-central-1.amazons.com/oef+12+accent+Largo.png,Production vocale,"Contrôle de la respiration, fermeture, vibration",Accent exercice largo,"En utilisant le rythme de votre respiration, la voix et la respiration sont bien coordonnées afin que vous puissiez utiliser votre voix détendue.",https://streamable.com/l/drabr/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazons.com/oef+12+accent+largo.png,
13,"Accent oefening Andante
Doel:
trainen van het ademritme, de stemgeving en de spraak om adem-stemkoppeling te verbeteren.",2,video,1,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Andante,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/pm76v8/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+13+accent+andante.png,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Andante,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/pm76v8/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+13+accent+andante.png,voice production,"Breathing control, closure, vibration",Accent exercise Andante,"By using the rhythm of your breathing, voice and breath are well coordinated so that you can use your voice relaxed.",https://streaamable.com/l/pm76v8/mp4.mp4,https://voiceBuddy.s3.eu-central-1.amazons.com/oef+13+accent+andante.png,Production vocale,"Contrôle de la respiration, fermeture, vibration",Exercice d'accent et d'Andante,"En utilisant le rythme de votre respiration, la voix et la respiration sont bien coordonnées afin que vous puissiez utiliser votre voix détendue.",https://streamable.com/l/pm76v8/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazons.com/oef+13+accent+andante.png,
14,"Accent oefening Allegro
Doel:
trainen van het ademritme, de stemgeving en de spraak om adem-stemkoppeling te verbeteren.",2,video,1,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Allegro,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/1nij14/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+14+accent+allegro.png,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Allegro,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/1nij14/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+14+accent+allegro.png,voice production,"Breathing control, closure, vibration",Accent exercise Allegro,"By using the rhythm of your breathing, voice and breath are well coordinated so that you can use your voice relaxed.",https://streaamable.com/l/1nij14/mp4-high.mp4,https://voiceBuddy.s3.eu-central-1.amazons.com/oef+14+accent+allegro.png,Production vocale,"Contrôle de la respiration, fermeture, vibration",Accent exercice allegro,"En utilisant le rythme de votre respiration, la voix et la respiration sont bien coordonnées afin que vous puissiez utiliser votre voix détendue.",https://streamable.com/l/1nij14/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazons.com/oef+14+accent+allegro.png,
15,"Accent oefening Toepassen
Doel:
Verbeterde adem-stemkoppeling toepassen in dagelijkse spraak.",2,video,1,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening toepassen,Het toepassen van een goed gecoördineerde adem en stem in de dagelijkse spraak voorkomt onnodige spanning tijdens het spreken.,https://streamable.com/l/xwky1v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+15+accent+toepassen.png,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening toepassen,Het toepassen van een goed gecoördineerde adem en stem in de dagelijkse spraak voorkomt onnodige spanning tijdens het spreken.,https://streamable.com/l/xwky1v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+15+accent+toepassen.png,voice production,"Breathing control, closure, vibration",Apply accent exercise,Applying a well -coordinated breath and voice in daily speech prevents unnecessary tension while speaking.,https://streaamable.com/l/xwky1v/mp4.mp4,https://voiceBuddy.s3.eu-central-1.amazons.com/oef+15+accent+toepassen.png,Production vocale,"Contrôle de la respiration, fermeture, vibration",Appliquer un exercice d'accent,L'application d'une respiration et d'une voix bien coordonnées dans le discours quotidien empêche la tension inutile pendant la parole.,https://streamable.com/l/xwky1v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazons.com/oef+15+accent+toepassen.png,
16,"Triangulaire ademhaling
Doel:
-bevordering lage ademhaling
-verlagen van stressgevoel
-Hoofd leeg maken",2,video,1,stem-productie,"Adembeheersing, ontspanning",Triangulaire ademhaling,"Een langzame, gedoseerde adem stimuleert een ontspannen en lage buikademhaling. Dit kan ook het stressgevoel verlagen.",https://streamable.com/l/bmrt5c/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+16+triangulaire+ademhaling+kopie.png,stem-productie,"Adembeheersing, ontspanning",Triangulaire ademhaling,"Een langzame, gedoseerde adem stimuleert een ontspannen en lage buikademhaling. Dit kan ook het stressgevoel verlagen.",https://streamable.com/l/bmrt5c/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+16+triangulaire+ademhaling+kopie.png,voice production,"Breathing control, relaxation",Triangular breathing,"A slow, dosed breath stimulates a relaxed and low abdominal breathing. This can also lower the feeling of stress.",https://streaamable.com/l/bmrt5c/mp4-high.mp4,https://voiceBuddy.s3.eu-central-1.amazons.com/oef+16+Triangular+Alenting+kopie.png,Production vocale,"Contrôle de la respiration, relaxation",Respiration triangulaire,Une respiration lente et dosée stimule une respiration abdominale détendue et faible. Cela peut également réduire la sensation de stress.,https://streamable.com/l/bmrt5c/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazons.com/oef+16+triangular+alenting+kopie.png,
17,"Loslaat oefening
Doel:
Nauwkeurig doseren van de adem gebruik makend van de natuurlijke adembeweging, zodat iedere gewenste vorm van stemproductie mogelijk is.",2,video,1,stem-productie,Adembeheersing,Loslaat oefening,Een gedoseerde en gecontroleerde in- en uitademing zorgen ervoor dat spanning in het keelgebied wordt voorkomen en de inademing moeiteloos verloopt.,https://streamable.com/l/2u1vcd/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+17+loslaatoef+kopie.png,stem-productie,Adembeheersing,Loslaat oefening,Een gedoseerde en gecontroleerde in- en uitademing zorgen ervoor dat spanning in het keelgebied wordt voorkomen en de inademing moeiteloos verloopt.,https://streamable.com/l/wxeeiq/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+17+loslaatoef+kopie.png,voice production,Breathing control,Let go of exercise,A dosed and controlled inhalation and exhalation ensure that tension is prevented in the throat area and the inhalation runs effortlessly.,https://streaMe.com/l/WXEEIQ/MP4.MP4,https://voiceBuddy.s3.eu-central-1.amazons.com/oef+17+LaSlaatoef+kopie.png,Production vocale,Contrôle des briseurs,Lâcher prise ou faire de l'exercice,Une inhalation et l'expiration dosées et contrôlées garantissent que la tension est empêchée dans la zone de la gorge et que l'inhalation fonctionne d'effort.,https://strememe.com/l/wxeeiq/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazons.com/oef+17+laslaatoef+kopie.png,
18,"Steminzet bij klinkers
Doel:
Het starten van klinkers zonder ongewenste spanning in de keelregio.",2,video,1,stem-productie,"Fonatie, Sluiting, spanning",Steminzet bij klinkers,Het starten van klinkers zonder ongewenste spanning in de keelregio.,https://streamable.com/l/wxeeiq/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+18+steminzetten+bij+klinkers+kopie.png,stem-productie,"Fonatie, Sluiting, spanning",Steminzet bij klinkers,Het starten van klinkers zonder ongewenste spanning in de keelregio.,https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+18+steminzetten+bij+klinkers+kopie.png,voice production,"Phonation, closure, tension",Voice deployment in Klinkers,Starting vowels without unwanted tension in the throat region.,https://streaamable.com/l/v7veui/mp4-high.mp4,https://voiceBuddy.s3.eu-central-1.amazons.com/oef+18+stemin sets+bij+klinkers+kopie.png,Production vocale,"Phonation, fermeture, tension",Déploiement vocal dans les voyelles,Démarrer les voyelles sans tension indésirable dans la région de la gorge.,https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazons.com/oef+18+stemin sets + at + klinkers + copy.png,
19,"Klassieke resonans vrouw
Doel:
-Meer draagkrachtige en doordringende stem
-betere stemplooisluiting 
- verleggen spanning van larynx naar resonatoren met als gevolg meer ontspannen fonatie",2,video,1,stem-productie,resonans,Klassieke resonans vrouw,"Resonansoefeningen zorgen ervoor dat je de holtes boven je stemplooien optimaal gebruikt, zodat je een ontspannen, draagkrachtig en helder stemgeluid ontwikkelt.",https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+19+resonans+vrouw+kopie.png,stem-productie,resonans,Klassieke resonans vrouw,"Resonansoefeningen zorgen ervoor dat je de holtes boven je stemplooien optimaal gebruikt, zodat je een ontspannen, draagkrachtig en helder stemgeluid ontwikkelt.",https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+19+resonans+vrouw+kopie.png,voice production,resonans,Classic Resonan Woman,"Resonans exercises ensure that you use the cavities above your vocal folds optimally, so that you develop a relaxed, strong and clear voice.",https://streaamable.com/l/v7veui/mp4-high.mp4,https://voiceBuddy.s3.eu-central-1.amazons.com/oef+19+RESONANS+woman+kopie.png,Production vocale,Resonans,Femme de résonane classique,"Les exercices de résonans vous assurent d'utiliser les cavités au-dessus de vos plis vocaux de manière optimale, afin de développer une voix détendue, forte et claire.",https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazons.com/oef+19+Resonans+woman+kopie.png,144
20,"Klassieke resonans transfer vrouw
Doel: 
-inzetten van draagkrachtige, ontspannen en ontspannen stem in dagelijkse spraak.",2,video,1,stem-productie,resonans,Klassieke resonans toepassen vrouw,"Door het stemgeluid vanuit de resonansoefening mee te nemen naar het normale spreken, ontwikkel je een ontspannen, heldere en draagkrachtig stem.",https://streamable.com/l/frs9uw/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+20+resonans+toepassen+vrouw+kopie.png,stem-productie,resonans,Klassieke resonans toepassen vrouw,"Door het stemgeluid vanuit de resonansoefening mee te nemen naar het normale spreken, ontwikkel je een ontspannen, heldere en draagkrachtig stem.",https://streamable.com/l/frs9uw/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+20+resonans+toepassen+vrouw+kopie.png,voice production,resonans,Classic resonans apply woman,"By taking the voice from the resonance exercise to normal speaking, you develop a relaxed, clear and carrying voice.",https://streaamable.com/l/frs9uw/mp4-high.mp4,https://voiceBuddy.s3.eu-central-1.amazonaws.com/oef+20+resonans+toPassen+woman+kopie.png,Production vocale,Resonans,Les résonans classiques appliquent une femme,"En prenant la voix de l'exercice de résonance à la parole normale, vous développez une voix détendue, claire et portant.",https://streamable.com/l/frs9uw/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/oef+20+Resonans+topassen+woman+kopie.png,
