7,oefening,standaard Frequentie (p/d),materiaal,status,categorie_nl,tags_nl,naam_nl,doel_nl,content_nl,thumbnail_nl,categorie_vls,tags_vls,naam_vls,doel_vls,content_vls,thumbnail_vls,categorie_en,tags_en,naam_en,doel_en,content_en,thumbnail_en,categorie_fr,tags_fr,naam_fr,doel_fr,content_fr,thumbnail_fr,skip_intro,skip_twee
11,"Roepoefening met beweging toepassen
Doel:
- Door gebruik te maken van beweging vermijd je teveel spanning in het keelgebied. En verbeter je stembelastbaarheid
-versterken orale resonans
-Gebruik maken voorwaartse projectie",2,video,1,stem-productie,"adem, volume",Roepoefening met beweging toepassen,Door de ontspanning vanuit de roepoefening met beweging mee te nemen naar het normale spreken voorkom je teveel spanning in het keelgebied en kun je op een gezonden manier het volume van je stem vergroten.,https://streamable.com/l/sfvd97/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+11+roepen+toepassen+beweging.png,stem-productie,"adem, volume",Roepoefening met beweging toepassen,Door de ontspanning vanuit de roepoefening met beweging mee te nemen naar het normale spreken voorkom je teveel spanning in het keelgebied en kun je op een gezonden manier het volume van je stem vergroten.,https://streamable.com/l/sfvd97/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+11+roepen+toepassen+beweging.png,voice production,"breath, volume",Apply calling exercise with movement,"By transferring the relaxation from the calling exercise with movement to normal speaking, you prevent too much tension in the throat area and you can increase the volume of your voice in a healthy way.",https://streamable.com/l/sfvd97/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+11+lopen+toepassen+beweging.png,production vocale,"souffle, volume",Appliquer l'exercice d'appel avec le mouvement,"En transférant la relaxation de l'exercice d'appel avec mouvement à la parole normale, vous évitez une tension excessive au niveau de la gorge et vous pouvez augmenter le volume de votre voix de manière saine.",https://streamable.com/l/sfvd97/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+11+lopen+toepassen+beweging.png,84,
12,"Accent oefening Largo
Doel:
trainen van het ademritme, de stemgeving en de spraak om adem-stemkoppeling te verbeteren.",2,video,1,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Largo,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/1drabr/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+12+accent+largo.png,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Largo,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/1drabr/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+12+accent+largo.png,voice production,"Breath control, closure, vibration",Accent exercise Largo,"By using the rhythm of your breathing, your voice and breath are well matched so that you can use your voice in a relaxed manner.",https://streamable.com/l/1drabr/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+12+accent+largo.png,production vocale,"Contrôle de la respiration, fermeture, vibration",Exercice d'accentuation Largo,"En utilisant le rythme de votre respiration, votre voix et votre souffle sont bien adaptés afin que vous puissiez utiliser votre voix de manière détendue.",https://streamable.com/l/1drabr/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+12+accent+largo.png,19,
13,"Accent oefening Andante
Doel:
trainen van het ademritme, de stemgeving en de spraak om adem-stemkoppeling te verbeteren.",2,video,1,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Andante,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/pm76v8/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+13+accent+andante.png,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Andante,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/pm76v8/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+13+accent+andante.png,voice production,"Breath control, closure, vibration",Accent exercise Andante,"By using the rhythm of your breathing, your voice and breath are well matched so that you can use your voice in a relaxed manner.",https://streamable.com/l/pm76v8/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+13+accent+andante.png,production vocale,"Contrôle de la respiration, fermeture, vibration",Exercice d'accentuation Andante,"En utilisant le rythme de votre respiration, votre voix et votre souffle sont bien adaptés afin que vous puissiez utiliser votre voix de manière détendue.",https://streamable.com/l/pm76v8/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+13+accent+andante.png,19,
14,"Accent oefening Allegro
Doel:
trainen van het ademritme, de stemgeving en de spraak om adem-stemkoppeling te verbeteren.",2,video,1,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Allegro,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/1nij14/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+14+accent+allegro.png,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Allegro,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/1nij14/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+14+accent+allegro.png,voice production,"Breath control, closure, vibration",Accent exercise Allegro,"By using the rhythm of your breathing, your voice and breath are well matched so that you can use your voice in a relaxed manner.",https://streamable.com/l/1nij14/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+14+accent+allegro.png,production vocale,"Contrôle de la respiration, fermeture, vibration",Exercice d'accentuation Allegro,"En utilisant le rythme de votre respiration, votre voix et votre souffle sont bien adaptés afin que vous puissiez utiliser votre voix de manière détendue.",https://streamable.com/l/1nij14/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+14+accent+allegro.png,19,
15,"Accent oefening Toepassen
Doel:
Verbeterde adem-stemkoppeling toepassen in dagelijkse spraak.",2,video,1,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening toepassen,Het toepassen van een goed gecoördineerde adem en stem in de dagelijkse spraak voorkomt onnodige spanning tijdens het spreken.,https://streamable.com/l/xwky1v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+15+accent+toepassen.png,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening toepassen,Het toepassen van een goed gecoördineerde adem en stem in de dagelijkse spraak voorkomt onnodige spanning tijdens het spreken.,https://streamable.com/l/xwky1v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+15+accent+toepassen.png,voice production,"Breath control, closure, vibration",Apply accent exercise,Applying well-coordinated breath and voice in daily speech prevents unnecessary tension while speaking.,https://streamable.com/l/xwky1v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+15+accent+toepassen.png,production vocale,"Contrôle de la respiration, fermeture, vibration",Appliquer un exercice d’accent,L'application d'une respiration et d'une voix bien coordonnées dans le discours quotidien évite les tensions inutiles lors de la parole.,https://streamable.com/l/xwky1v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+15+accent+toepassen.png,52,
16,"Triangulaire ademhaling
Doel:
-bevordering lage ademhaling
-verlagen van stressgevoel
-Hoofd leeg maken",2,video,1,stem-productie,"Adembeheersing, ontspanning",Triangulaire ademhaling,"Een langzame, gedoseerde adem stimuleert een ontspannen en lage buikademhaling. Dit kan ook het stressgevoel verlagen.",https://streamable.com/l/bmrt5c/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+16+triangulaire+ademhaling+kopie.png,stem-productie,"Adembeheersing, ontspanning",Triangulaire ademhaling,"Een langzame, gedoseerde adem stimuleert een ontspannen en lage buikademhaling. Dit kan ook het stressgevoel verlagen.",https://streamable.com/l/bmrt5c/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+16+triangulaire+ademhaling+kopie.png,voice production,"Breath control, relaxation",Triangular breathing,"A slow, measured breath stimulates relaxed and low abdominal breathing. This can also reduce the feeling of stress.",https://streamable.com/l/bmrt5c/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+16+triangulaire+ademhaling+kopie.png,production vocale,"Contrôle de la respiration, relaxation",Respiration triangulaire,Une respiration lente et mesurée stimule une respiration abdominale détendue et basse. Cela peut également réduire la sensation de stress.,https://streamable.com/l/bmrt5c/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+16+triangulaire+ademhaling+kopie.png,43,
17,"Loslaat oefening
Doel:
Nauwkeurig doseren van de adem gebruik makend van de natuurlijke adembeweging, zodat iedere gewenste vorm van stemproductie mogelijk is.",2,video,1,stem-productie,Adembeheersing,Loslaat oefening,Een gedoseerde en gecontroleerde in- en uitademing zorgen ervoor dat spanning in het keelgebied wordt voorkomen en de inademing moeiteloos verloopt.,https://streamable.com/l/2u1vcd/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+17+loslaatoef+kopie.png,stem-productie,Adembeheersing,Loslaat oefening,Een gedoseerde en gecontroleerde in- en uitademing zorgen ervoor dat spanning in het keelgebied wordt voorkomen en de inademing moeiteloos verloopt.,https://streamable.com/l/wxeeiq/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+17+loslaatoef+kopie.png,voice production,Breath control,Letting go exercise,A measured and controlled inhalation and exhalation ensures that tension in the throat area is prevented and inhalation is effortless.,https://streamable.com/l/wxeeiq/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+17+lolaatoef+kopie.png,production vocale,Contrôle de la respiration,Exercice de lâcher prise,Une inspiration et une expiration mesurées et contrôlées garantissent que les tensions dans la zone de la gorge sont évitées et que l'inspiration se fait sans effort.,https://streamable.com/l/wxeeiq/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+17+lolaatoef+kopie.png,86,
18,"Steminzet bij klinkers
Doel:
Het starten van klinkers zonder ongewenste spanning in de keelregio.",2,video,1,stem-productie,"Fonatie, Sluiting, spanning",Steminzet bij klinkers,Het starten van klinkers zonder ongewenste spanning in de keelregio.,https://streamable.com/l/wxeeiq/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+18+steminzetten+bij+klinkers+kopie.png,stem-productie,"Fonatie, Sluiting, spanning",Steminzet bij klinkers,Het starten van klinkers zonder ongewenste spanning in de keelregio.,https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+18+steminzetten+bij+klinkers+kopie.png,voice production,"Phonation, Closure, Tension",Voice input for vowels,Starting vowels without unwanted tension in the throat region.,https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+18+steminzet+bij+klinkers+kopie.png,production vocale,"Phonation, Clôture, Tension",Saisie vocale pour les voyelles,Début des voyelles sans tension indésirable dans la région de la gorge.,https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+18+steminzet+bij+klinkers+kopie.png,89,
19,"Klassieke resonans vrouw
Doel:
-Meer draagkrachtige en doordringende stem
-betere stemplooisluiting 
- verleggen spanning van larynx naar resonatoren met als gevolg meer ontspannen fonatie",2,video,1,stem-productie,resonans,Klassieke resonans vrouw,"Resonansoefeningen zorgen ervoor dat je de holtes boven je stemplooien optimaal gebruikt, zodat je een ontspannen, draagkrachtig en helder stemgeluid ontwikkelt.",https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+19+resonans+vrouw+kopie.png,stem-productie,resonans,Klassieke resonans vrouw,"Resonansoefeningen zorgen ervoor dat je de holtes boven je stemplooien optimaal gebruikt, zodat je een ontspannen, draagkrachtig en helder stemgeluid ontwikkelt.",https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+19+resonans+vrouw+kopie.png,voice production,resonance,Classic resonance woman,"Resonance exercises ensure that you use the cavities above your vocal folds optimally, so that you develop a relaxed, strong and clear voice.",https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+19+resonans+vrouw+kopie.png,production vocale,résonance,Femme de résonance classique,"Les exercices de résonance garantissent que vous utilisez de manière optimale les cavités situées au-dessus de vos cordes vocales, afin de développer une voix détendue, forte et claire.",https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+19+resonans+vrouw+kopie.png,144,
20,"Klassieke resonans transfer vrouw
Doel: 
-inzetten van draagkrachtige, ontspannen en ontspannen stem in dagelijkse spraak.",2,video,1,stem-productie,resonans,Klassieke resonans toepassen vrouw,"Door het stemgeluid vanuit de resonansoefening mee te nemen naar het normale spreken, ontwikkel je een ontspannen, heldere en draagkrachtig stem.",https://streamable.com/l/frs9uw/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+20+resonans+toepassen+vrouw+kopie.png,stem-productie,resonans,Klassieke resonans toepassen vrouw,"Door het stemgeluid vanuit de resonansoefening mee te nemen naar het normale spreken, ontwikkel je een ontspannen, heldere en draagkrachtig stem.",https://streamable.com/l/frs9uw/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+20+resonans+toepassen+vrouw+kopie.png,voice production,resonance,Woman applying classical resonance,"By transferring the voice sound from the resonance exercise to normal speaking, you develop a relaxed, clear and powerful voice.",https://streamable.com/l/frs9uw/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+20+resonans+toepassen+vrouw+kopie.png,production vocale,résonance,Femme appliquant la résonance classique,"En transférant le son de la voix de l'exercice de résonance à la parole normale, vous développez une voix détendue, claire et puissante.",https://streamable.com/l/frs9uw/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+20+resonans+toepassen+vrouw+kopie.png,45,
