7,oefening,standaard Frequentie (p/d),materiaal,status,categorie_nl,tags_nl,naam_nl,doel_nl,content_nl,thumbnail_nl,categorie_vls,tags_vls,naam_vls,doel_vls,content_vls,thumbnail_vls,categorie_en,tags_en,naam_en,doel_en,content_en,thumbnail_en,categorie_fr,tags_fr,naam_fr,doel_fr,content_fr,thumbnail_fr
11,"Roepoefening met beweging toepassen
Doel:
- Door gebruik te maken van beweging vermijd je teveel spanning in het keelgebied. En verbeter je stembelastbaarheid
-versterken orale resonans
-Gebruik maken voorwaartse projectie",2,video,1,stem-productie,"adem, volume",Roepoefening met beweging toepassen,Door de ontspanning vanuit de roepoefening met beweging mee te nemen naar het normale spreken voorkom je teveel spanning in het keelgebied en kun je op een gezonden manier het volume van je stem vergroten.,https://streamable.com/l/sfvd97/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+11+roepen+toepassen+beweging.png,stem-productie,"adem, volume",Roepoefening met beweging toepassen,Door de ontspanning vanuit de roepoefening met beweging mee te nemen naar het normale spreken voorkom je teveel spanning in het keelgebied en kun je op een gezonden manier het volume van je stem vergroten.,https://streamable.com/l/sfvd97/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+11+roepen+toepassen+beweging.png,Voice production,"Breath, volume",Apply call exercise with motion,"By taking the relaxation from the calling exercise with movement to normal speaking, you prevent too much tension in the throat area and you can enlarge the volume of your voice in a sent way.",https://streamable.com/l/sfvd97/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/OUP+11 + groups + pasteeabas +bevision.png,Production vocale,"Souffle, volume",Appliquer l'exercice d'appel avec motion,"En prenant la relaxation de l'exercice d'appel avec le mouvement à la normale, vous empêchez trop de tension dans la zone de gorge et vous pouvez élargir le volume de votre voix d'une manière adressée.",https://streamable.com/l/sfvd97/mp4.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/oupe+11 + groupes + pasteebas + bevision.png
12,"Accent oefening Largo
Doel:
trainen van het ademritme, de stemgeving en de spraak om adem-stemkoppeling te verbeteren.",2,video,1,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Largo,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/1drabr/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+12+accent+largo.png,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Largo,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/1drabr/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+12+accent+largo.png,Voice production,"Breathing, closure, vibration",Accent Exercise Largo,"By using the rhythm of your breathing, voice and breath are well coordinated so that you can bet your voice relaxed.",https://streamable.com/l/1Drawberry/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/OUP+12+accent+largo.png,Production vocale,"Respiration, fermeture, vibration",Accent Exercice Largo,"En utilisant le rythme de votre respiration, la voix et la respiration sont bien coordonnées afin que vous puissiez parier votre voix détendue.",https://streamable.com/l/1Drawberry/mp4.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/oupe + 12 + accent + largo.png
13,"Accent oefening Andante
Doel:
trainen van het ademritme, de stemgeving en de spraak om adem-stemkoppeling te verbeteren.",2,video,1,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Andante,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/pm76v8/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+13+accent+andante.png,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Andante,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/pm76v8/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+13+accent+andante.png,Voice production,"Breathing, closure, vibration",Accent Exercise Andante,"By using the rhythm of your breathing, voice and breath are well coordinated so that you can bet your voice relaxed.",https://streamable.com/l/pm76v8/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/OUP+13+accentaDantante.png,Production vocale,"Respiration, fermeture, vibration",Exercice d'accent Andante,"En utilisant le rythme de votre respiration, la voix et la respiration sont bien coordonnées afin que vous puissiez parier votre voix détendue.",https://streamable.com/l/pm76v8/mp4.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/oupe+13+acCenteranante.png
14,"Accent oefening Allegro
Doel:
trainen van het ademritme, de stemgeving en de spraak om adem-stemkoppeling te verbeteren.",2,video,1,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Allegro,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/1nij14/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+14+accent+allegro.png,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening Allegro,Door gebruik te maken van het ritme van je ademhaling worden stem en adem goed op elkaar afgestemd zodat je je stem ontspannen kan inzetten.,https://streamable.com/l/1nij14/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+14+accent+allegro.png,Voice production,"Breathing, closure, vibration",Accent Exercise Allegro,"By using the rhythm of your breathing, voice and breath are well coordinated so that you can bet your voice relaxed.",https://streamable.com/l/1nij14/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/OF +14+accent+Allegro.png,Production vocale,"Respiration, fermeture, vibration",Accent exercice Allegro,"En utilisant le rythme de votre respiration, la voix et la respiration sont bien coordonnées afin que vous puissiez parier votre voix détendue.",https://streamable.com/l/1nij14/mp4-high.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/of + 14 + accent + Allegro.png
15,"Accent oefening Toepassen
Doel:
Verbeterde adem-stemkoppeling toepassen in dagelijkse spraak.",2,video,1,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening toepassen,Het toepassen van een goed gecoördineerde adem en stem in de dagelijkse spraak voorkomt onnodige spanning tijdens het spreken.,https://streamable.com/l/xwky1v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+15+accent+toepassen.png,stem-productie,"Adembeheersing, sluiting, trilling",Accent oefening toepassen,Het toepassen van een goed gecoördineerde adem en stem in de dagelijkse spraak voorkomt onnodige spanning tijdens het spreken.,https://streamable.com/l/xwky1v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+15+accent+toepassen.png,Voice production,"Breathing, closure, vibration",Apply Accent Exercise,Applying a well-coordinated breath and voice in daily speech prevents unnecessary tension while speaking.,https://streamable.com/l/xwky1v/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/OUP+15+accent +tejas.png,Production vocale,"Respiration, fermeture, vibration",Appliquer l'exercice d'accentuation,L'application d'une respiration et d'une voix bien coordonnées dans le discours quotidien empêche une tensation inutile tout en parlant.,https://streamable.com/l/xwky1v/mp4.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/oupe + 15 + accent + tejas.png
16,"Triangulaire ademhaling
Doel:
-bevordering lage ademhaling
-verlagen van stressgevoel
-Hoofd leeg maken",2,video,1,stem-productie,"Adembeheersing, ontspanning",Triangulaire ademhaling,"Een langzame, gedoseerde adem stimuleert een ontspannen en lage buikademhaling. Dit kan ook het stressgevoel verlagen.",https://streamable.com/l/bmrt5c/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+16+triangulaire+ademhaling+kopie.png,stem-productie,"Adembeheersing, ontspanning",Triangulaire ademhaling,"Een langzame, gedoseerde adem stimuleert een ontspannen en lage buikademhaling. Dit kan ook het stressgevoel verlagen.",https://streamable.com/l/bmrt5c/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+16+triangulaire+ademhaling+kopie.png,Voice production,"Breathing, relaxation",Triangular breathing,"A slow, dosed breath stimulates a relaxed and low belly breathing. This can also reduce the stress feeling.",https://streamable.com/l/bMrt5c/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonws.com/Op+16+triangular+ breathing+PNG.png,Production vocale,"Respiration, détente",Respiration triangulaire,Une respiration lente et dosée stimule une respiration de ventre détendue et faible. Cela peut également réduire le sentiment de stress.,https://streamable.com/l/bmrt5c/mp4-high.mp4,https://voicebuddy.s3.eu-entral-1.amazons.com/op+16+triangular+ respiration + png.png
17,"Loslaat oefening
Doel:
Nauwkeurig doseren van de adem gebruik makend van de natuurlijke adembeweging, zodat iedere gewenste vorm van stemproductie mogelijk is.",2,video,1,stem-productie,Adembeheersing,Loslaat oefening,Een gedoseerde en gecontroleerde in- en uitademing zorgen ervoor dat spanning in het keelgebied wordt voorkomen en de inademing moeiteloos verloopt.,https://streamable.com/l/2u1vcd/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+17+loslaatoef+kopie.png,stem-productie,Adembeheersing,Loslaat oefening,Een gedoseerde en gecontroleerde in- en uitademing zorgen ervoor dat spanning in het keelgebied wordt voorkomen en de inademing moeiteloos verloopt.,https://streamable.com/l/wxeeiq/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+17+loslaatoef+kopie.png,Voice production,Breathing,Release exercise,A dosed and controlled in and exhalation ensure that voltage in the throat area is prevented and the inhalation effortlessly proceeds.,https://streamable.com/l/wxeeiq/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/OUP+17+loslaatoef+kopie.png,Production vocale,Respiration,Exercice de libération,Un dosage et une expiration contrôlée et contrôlés garantissent que la tension dans la zone de gorge est évitée et l'inhalation exerce ses précédents.,https://streamable.com/l/wxeeiq/mp4.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/oupe+17+Loslaatatoef+kopie.png
18,"Steminzet bij klinkers
Doel:
Het starten van klinkers zonder ongewenste spanning in de keelregio.",2,video,1,stem-productie,"Fonatie, Sluiting, spanning",Steminzet bij klinkers,Het starten van klinkers zonder ongewenste spanning in de keelregio.,https://streamable.com/l/wxeeiq/mp4.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+18+steminzetten+bij+klinkers+kopie.png,stem-productie,"Fonatie, Sluiting, spanning",Steminzet bij klinkers,Het starten van klinkers zonder ongewenste spanning in de keelregio.,https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+18+steminzetten+bij+klinkers+kopie.png,Voice production,"Fonation, closure, voltage",Voting set at Klinkers,Starting vowels without unwanted voltage in the throat region.,https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonws.com/OUP+18+stemins + BijmpiceLinkers+kopie.png,Production vocale,"Fonation, fermeture, tension",Vote de vote à Klinkers,Commencer les voyelles sans tension indésirable dans la région de la gorge.,https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-entral-1.aMazons.com/oupe + 18 + STEMINS + BIJMPLIGNERS + copy.png
19,"Klassieke resonans vrouw
Doel:
-Meer draagkrachtige en doordringende stem
-betere stemplooisluiting
- verleggen spanning van larynx naar resonatoren met als gevolg meer ontspannen fonatie",2,video,1,stem-productie,resonans,Klassieke resonans vrouw,"Resonansoefeningen zorgen ervoor dat je de holtes boven je stemplooien optimaal gebruikt, zodat je een ontspannen, draagkrachtig en helder stemgeluid ontwikkelt.",https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+19+resonans+vrouw+kopie.png,stem-productie,resonans,Klassieke resonans vrouw,"Resonansoefeningen zorgen ervoor dat je de holtes boven je stemplooien optimaal gebruikt, zodat je een ontspannen, draagkrachtig en helder stemgeluid ontwikkelt.",https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+19+resonans+vrouw+kopie.png,Voice production,resonance,Classical resonance woman,"Resonance exercises ensure that you optimally use the cavities above your voting folds, so that you develop a relaxed, captive and clear voice.",https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/ef+19+resonans ++++kopie.png,Production vocale,résonance,Femme de résonance classique,"Exercices de résonance S'assurent que vous utilisez optionnellement les cavités au-dessus de vos plis de vote afin de développer une voix détendue, captive et claire.",https://streamable.com/l/v7veui/mp4-high.mp4,https://voicebuddy.s3.eu-entral-1.amazonaws.com/ef+19+resonans ++++ copy.png.png
20,"Klassieke resonans transfer vrouw
Doel:
-inzetten van draagkrachtige, ontspannen en ontspannen stem in dagelijkse spraak.",2,video,1,stem-productie,resonans,Klassieke resonans toepassen vrouw,"Door het stemgeluid vanuit de resonansoefening mee te nemen naar het normale spreken, ontwikkel je een ontspannen, heldere en draagkrachtig stem.",https://streamable.com/l/frs9uw/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+20+resonans+toepassen+vrouw+kopie.png,stem-productie,resonans,Klassieke resonans toepassen vrouw,"Door het stemgeluid vanuit de resonansoefening mee te nemen naar het normale spreken, ontwikkel je een ontspannen, heldere en draagkrachtig stem.",https://streamable.com/l/frs9uw/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/Oef+20+resonans+toepassen+vrouw+kopie.png,Voice production,resonance,Classical Resonance Apply Woman,"By taking the voice from the resonance exercise to normal speaking, you develop a relaxed, clear and secure voice.",https://streamable.com/l/frs9uw/mp4-high.mp4,https://voicebuddy.s3.eu-central-1.amazonaws.com/OUP +20+resonans + buttons ++++PNG.png,Production vocale,résonance,Résonance classique Appliquer une femme,"En prenant la voix de l'exercice de résonance à la normale, vous développez une voix détendue, claire et sécurisée.",https://streamable.com/l/frs9uw/mp4-high.mp4,https://voicebuddy.s3.eu-entral-1.amazonws.com/oupe + 20 + résonans + boutons ++++ png.png
